:START_ID,:END_ID,:TYPE,description:string
ddia_v1,DDIA_001,CONTAINS,"Designing Data-Intensive Applications contains Reliability in Data Systems"
ddia_v1,DDIA_002,CONTAINS,"Designing Data-Intensive Applications contains Scalability and Performance"
ddia_v1,DDIA_003,CONTAINS,"Designing Data-Intensive Applications contains Maintainability and Operational Excellence"
ddia_v1,DDIA_004,CONTAINS,"Designing Data-Intensive Applications contains Data Model Selection and Trade-offs"
ddia_v1,DDIA_005,CONTAINS,"Designing Data-Intensive Applications contains Query Language Paradigms"
ddia_v1,DDIA_006,CONTAINS,"Designing Data-Intensive Applications contains Graph Data Models"
ddia_v1,DDIA_007,CONTAINS,"Designing Data-Intensive Applications contains Log-Structured Storage Engines"
ddia_v1,DDIA_008,CONTAINS,"Designing Data-Intensive Applications contains B-Tree Storage Engines"
ddia_v1,DDIA_009,CONTAINS,"Designing Data-Intensive Applications contains Secondary Indexes and Multi-Column Access"
ddia_v1,DDIA_010,CONTAINS,"Designing Data-Intensive Applications contains OLTP versus OLAP Workloads"
ddia_v1,DDIA_011,CONTAINS,"Designing Data-Intensive Applications contains Column-Oriented Storage"
ddia_v1,DDIA_012,CONTAINS,"Designing Data-Intensive Applications contains Caching Strategies"
ddia_v1,DDIA_013,CONTAINS,"Designing Data-Intensive Applications contains Encoding and Schema Evolution"
ddia_v1,DDIA_014,CONTAINS,"Designing Data-Intensive Applications contains Modes of Dataflow"
ddia_v1,DDIA_015,CONTAINS,"Designing Data-Intensive Applications contains Replication: Leaders and Followers"
ddia_v1,DDIA_016,CONTAINS,"Designing Data-Intensive Applications contains Replication Lag and Consistency Guarantees"
ddia_v1,DDIA_017,CONTAINS,"Designing Data-Intensive Applications contains Multi-Leader and Leaderless Replication"
ddia_v1,DDIA_018,CONTAINS,"Designing Data-Intensive Applications contains Partitioning Strategies"
ddia_v1,DDIA_019,CONTAINS,"Designing Data-Intensive Applications contains Partitioning and Secondary Indexes"
