:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
TEST_CFC_001,Colours for children,Curriculum,,1.0.0,A colourful exploration of light frequencies for children,,2025-12-28,2025-12-28,10,,
TESTCFC_001,Color Matching and Sorting,Concept,Child can match two objects of the same color when given a set of colored items;Child can sort objects into groups by color when given items of 2-3 different colors;Child can identify when two objects are the same color or different colors,1.0.0,Understanding color matching and sorting: Child can match two objects of the same color when given a set of colored items,,2025-12-28,2025-12-28,,Foundational,
TESTCFC_002,Red in Multiple Contexts,Concept,"Child can select all red items from a mixed set of 6 objects (2 red, 4 other colors);Child can identify that strawberries, fire trucks, and red blocks are all red;Child can name the color red when shown a strawberry and asked 'What color is this?'",1.0.0,"Understanding red in multiple contexts: Child can select all red items from a mixed set of 6 objects (2 red, 4 other colors)",,2025-12-28,2025-12-28,,Foundational,
TESTCFC_003,Blue in Multiple Contexts,Concept,"Child can select all blue items from a mixed set of 6 objects (2 blue, 4 other colors);Child can identify that blueberries, blue crayons, and clear daytime sky photos are all blue;Child can follow a direction using the color blue, such as 'Put the blue block in the box'",1.0.0,"Understanding blue in multiple contexts: Child can select all blue items from a mixed set of 6 objects (2 blue, 4 other colors)",,2025-12-28,2025-12-28,,Foundational,
TESTCFC_004,Yellow in Multiple Contexts,Concept,"Child can select all yellow items from a mixed set of 6 objects (2 yellow, 4 other colors);Child can identify that bananas, lemons, and school buses are all yellow;Child can name the color yellow when shown a yellow object and asked 'What color is this?'",1.0.0,"Understanding yellow in multiple contexts: Child can select all yellow items from a mixed set of 6 objects (2 yellow, 4 other colors)",,2025-12-28,2025-12-28,,Intermediate,
TESTCFC_005,Green in Nature and Food,Concept,"Child can select all green items from a mixed set of 6 objects (2 green, 4 other colors);Child can identify that grass, leaves, and broccoli are all green;Child can follow a direction using the color green, such as 'Find something green in the room'",1.0.0,"Understanding green in nature and food: Child can select all green items from a mixed set of 6 objects (2 green, 4 other colors)",,2025-12-28,2025-12-28,,Intermediate,
TESTCFC_006,Orange in Food and Objects,Concept,"Child can select all orange items from a mixed set of 6 objects (2 orange, 4 other colors);Child can identify that oranges (fruit), carrots, and pumpkins are all orange;Child can name the color orange when shown an orange object and asked 'What color is this?'",1.0.0,"Understanding orange in food and objects: Child can select all orange items from a mixed set of 6 objects (2 orange, 4 other colors)",,2025-12-28,2025-12-28,,Intermediate,
TESTCFC_007,Purple in Food and Objects,Concept,"Child can select all purple items from a mixed set of 6 objects (2 purple, 4 other colors);Child can identify that grapes, eggplants, and purple crayons are all purple;Child can follow a direction using the color purple, such as 'Give me the purple marker'",1.0.0,"Understanding purple in food and objects: Child can select all purple items from a mixed set of 6 objects (2 purple, 4 other colors)",,2025-12-28,2025-12-28,,Advanced,
TESTCFC_008,"Black, White, and Brown",Concept,"Child can identify that tires, ants, and black crayons are black, while paper, milk, and white crayons are white;Child can identify that tree trunks, dirt, and teddy bears are brown;Child can sort a mixed set of black, white, and brown objects into three separate groups",1.0.0,"Understanding black, white, and brown: Child can identify that tires, ants, and black crayons are black, while paper, milk, and white crayons are white",,2025-12-28,2025-12-28,,Advanced,
TESTCFC_009,Pink and Gray,Concept,"Child can select all pink items from a mixed set of 6 objects (2 pink, 4 other colors);Child can identify that elephants, clouds, and gray crayons are gray;Child can name the color pink when shown a pink object and asked 'What color is this?'",1.0.0,"Understanding pink and gray: Child can select all pink items from a mixed set of 6 objects (2 pink, 4 other colors)",,2025-12-28,2025-12-28,,Advanced,
TESTCFC_010,Two-Color Animals and Color Mixing,Concept,"Child can identify both colors present on zebras (black and white), ladybugs (red and black), or bumblebees (yellow and black) by pointing to each color when asked;Child can predict which color will result when mixing two paint colors by choosing from 3 options (e.g., 'What color do red and yellow make?');Child can demonstrate mixing two paint colors (red + yellow = orange, blue + yellow = green, or red + blue = purple) and name the resulting color",1.0.0,"Understanding two-color animals and color mixing: Child can identify both colors present on zebras (black and white), ladybugs (red and black), or bumblebees (yellow and black) by pointing to each color when asked",,2025-12-28,2025-12-28,,Specialized,
