:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
aia_001,Agentic AI,Curriculum,,1.0.0,Understand the foundations of building Agentic AI architectures,,2026-05-24,2026-05-24,32,,
AIA_001,AI Agent Core Definition and Capabilities,Concept,"Define an AI agent as a system or program that autonomously performs tasks on behalf of a user or another system by designing its own workflow and utilizing available tools;List the core capabilities of AI agents beyond natural language processing including decision-making, problem-solving, interacting with external environments, and executing actions;Explain how AI agents differ from traditional LLMs by using tool calling on the backend to obtain up-to-date information, optimize workflows, and create subtasks autonomously;Describe how AI agents solve complex tasks across enterprise applications such as software design, IT automation, code generation, and conversational assistance;Given a business scenario such as automating contract review, identify which agent capabilities would be required and justify why a traditional LLM alone would be insufficient",1.0.0,Understanding ai agent core definition and capabilities: Define an AI agent as a system or program that autonomously performs tasks on behalf of a user or another system by designing its own workflow and utilizing available tools,,2026-05-24,2026-05-24,,Foundational,
AIA_002,LLMs as the Core of AI Agents,Concept,"Explain why AI agents are often referred to as LLM agents given that large language models form the core reasoning engine of most AI agent architectures;Describe the limitations of traditional LLMs including being bounded by training data, knowledge cutoffs, and reasoning limitations;Explain how agentic technology overcomes LLM limitations by using tool calling to access up-to-date information and extend reasoning beyond the model training data;Describe how LLMs within agents use advanced natural language processing to comprehend user inputs step by step and determine when to call on external tools;Given two scenarios, one requiring only general knowledge and one requiring current domain-specific facts, determine which scenario benefits most from an agentic LLM setup and explain why",1.0.0,Understanding llms as the core of ai agents: Explain why AI agents are often referred to as LLM agents given that large language models form the core reasoning engine of most AI agent architectures,,2026-05-24,2026-05-24,,Foundational,
AIA_003,Agent Perception and Environment Interaction,Concept,"Define perception in the context of AI agents as the process by which an agent receives and interprets inputs from its environment to inform its actions;Distinguish between fully observable environments where an agent has access to all relevant information and partially observable environments where information is incomplete;Explain how the type of environment an agent operates in determines which agent architecture is most appropriate;Describe the perception-action cycle as the continuous loop through which an agent senses its environment, processes that input, and produces an action in response;Given a description of an agent environment such as a web browser or a database system, classify it as fully or partially observable and identify which architectural features the agent would need to operate effectively",1.0.0,Understanding agent perception and environment interaction: Define perception in the context of AI agents as the process by which an agent receives and interprets inputs from its environment to inform its actions,,2026-05-24,2026-05-24,,Foundational,
AIA_004,Agent Architecture Components,Concept,"Identify the core architectural components common to most AI agent systems including the perception module, reasoning and planning module, memory module, tool use module, and action execution module;Explain how each architectural component contributes to the overall functioning of an agent and how they interact with one another;Describe how the reasoning and planning module acts as the central coordinator that determines which tools to call, which memories to retrieve, and which actions to take;Define the message format and data flow contracts between the planner, tool executor, and memory module so that each interface is explicit and testable;Draw or describe a block diagram showing the inputs and outputs of each architectural module and trace how a single user query flows through the entire system;Explain why understanding the architecture of an agent is essential for diagnosing failures, improving performance, and designing new agent systems",1.0.0,"Understanding agent architecture components: Identify the core architectural components common to most AI agent systems including the perception module, reasoning and planning module, memory module, tool use module, and action execution module",,2026-05-24,2026-05-24,,Foundational,
AIA_005,Task Decomposition and Planning,Concept,"Define task decomposition as the process by which an AI agent breaks a complex goal into a plan of specific tasks and subtasks to improve performance;Explain that for simple tasks defined as single-step goals with no external dependencies and low risk, planning is not necessary and an agent can instead iteratively reflect on and improve its responses;Describe how an agent creates subtasks when it encounters missing information needed to achieve a broader goal;Illustrate task decomposition using a concrete example such as an agent planning a surfing trip that creates subtasks for weather data retrieval and consulting a specialized surfing agent;Given a complex user goal, produce a decomposed task plan that identifies each subtask, the information required for each, and the tools or agents that would be needed",1.0.0,Understanding task decomposition and planning: Define task decomposition as the process by which an AI agent breaks a complex goal into a plan of specific tasks and subtasks to improve performance,,2026-05-24,2026-05-24,,Foundational,
AIA_006,Agentic Reasoning and Self-Correction,Concept,"Define agentic reasoning as the process of continuously reassessing a plan of action and making self-corrections based on newly gathered information;Explain how an agent updates its knowledge base after gathering information from external tools before engaging in agentic reasoning;Describe how self-correction enables more informed and adaptive decision-making compared to static response generation;Explain how agents store data about solutions to previous obstacles in a knowledge base to avoid repeating the same mistakes in future tasks;Given a scenario where an agent receives unexpected tool output that contradicts its current plan, describe the self-correction steps the agent should take and what information it should store for future use",1.0.0,Understanding agentic reasoning and self-correction: Define agentic reasoning as the process of continuously reassessing a plan of action and making self-corrections based on newly gathered information,,2026-05-24,2026-05-24,,Foundational,
AIA_007,Agent Memory and Personalization,Concept,"Explain how an AI agent stores past interactions in memory to plan future actions and provide a personalized experience;Distinguish between short-term or in-context memory used within a single session and long-term memory that persists across multiple sessions;Describe how external memory stores such as vector databases enable agents to retrieve relevant past information efficiently at scale;Describe the memory lifecycle including write policy for deciding what to store, retrieval policy for deciding what to fetch, summarization and compaction for managing memory size, and deletion and retention rules for privacy compliance;Contrast agents with memory against nonagentic chatbots that hold no memory and therefore cannot learn from unsatisfactory responses;Given a multi-session user interaction log, identify which information should be written to long-term memory, which should be discarded, and how retrieval should be triggered in a future session",1.0.0,Understanding agent memory and personalization: Explain how an AI agent stores past interactions in memory to plan future actions and provide a personalized experience,,2026-05-24,2026-05-24,,Foundational,
AIA_008,Tool Use and External Information Retrieval,Concept,"List the types of tools available to AI agents for bridging knowledge gaps including external datasets, web searches, APIs, and other agents;Explain why agents turn to external tools when they lack the full knowledge required to tackle every subtask within a complex goal;Describe how the sharing of information between tools allows AI agents to be more general purpose than traditional AI models;Illustrate tool use with a concrete example such as an agent querying an external weather database and consulting a specialized surfing agent to answer a complex user query;Given a list of available tools and a user goal, select the appropriate tools for each subtask and justify the selection based on the information gap each tool fills",1.0.0,"Understanding tool use and external information retrieval: List the types of tools available to AI agents for bridging knowledge gaps including external datasets, web searches, APIs, and other agents",,2026-05-24,2026-05-24,,Foundational,
AIA_009,Tool Calling Engineering and Contracts,Concept,"Define a tool schema as a structured specification that describes a tool name, its input parameters with types and constraints, its expected output format, and any error conditions it may return;Write a valid JSON tool schema for a simple function such as a weather lookup tool that includes parameter names, types, required fields, and a description of the return value;Explain how an agent uses argument validation to confirm that tool inputs conform to the schema before invoking the tool and how schema violations should be handled;Describe how tool result parsing works including how the agent extracts structured data from a tool response and injects it into the reasoning context;Explain the concepts of idempotency and retry logic in tool calling including when it is safe to retry a failed tool call and when retrying could cause unintended side effects;Describe best practices for handling authentication and secrets in tool integrations including avoiding hardcoded credentials, using environment variables or secret managers, and scoping permissions to the minimum required;Given a tool call that returns an error or unexpected output, diagnose whether the issue is a schema mismatch, a network failure, or a logic error and propose a corrective action",1.0.0,"Understanding tool calling engineering and contracts: Define a tool schema as a structured specification that describes a tool name, its input parameters with types and constraints, its expected output format, and any error conditions it may return",,2026-05-24,2026-05-24,,Intermediate,
