:START_ID,:END_ID,:TYPE,description:string
aia_001,AIA_001,CONTAINS,"Agentic AI curriculum contains AI Agent Core Definition and Capabilities"
aia_001,AIA_002,CONTAINS,"Agentic AI curriculum contains LLMs as the Core of AI Agents"
aia_001,AIA_003,CONTAINS,"Agentic AI curriculum contains Agent Perception and Environment Interaction"
aia_001,AIA_004,CONTAINS,"Agentic AI curriculum contains Agent Architecture Components"
aia_001,AIA_005,CONTAINS,"Agentic AI curriculum contains Task Decomposition and Planning"
aia_001,AIA_006,CONTAINS,"Agentic AI curriculum contains Agentic Reasoning and Self-Correction"
aia_001,AIA_007,CONTAINS,"Agentic AI curriculum contains Agent Memory and Personalization"
aia_001,AIA_008,CONTAINS,"Agentic AI curriculum contains Tool Use and External Information Retrieval"
aia_001,AIA_009,CONTAINS,"Agentic AI curriculum contains Tool Calling Engineering and Contracts"
aia_001,AIA_010,CONTAINS,"Agentic AI curriculum contains Feedback Mechanisms and Iterative Refinement"
aia_001,AIA_011,CONTAINS,"Agentic AI curriculum contains Human-in-the-Loop in Agentic Systems"
aia_001,AIA_012,CONTAINS,"Agentic AI curriculum contains Agentic vs Nonagentic AI Chatbots"
aia_001,AIA_013,CONTAINS,"Agentic AI curriculum contains ReAct Reasoning Paradigm"
aia_001,AIA_014,CONTAINS,"Agentic AI curriculum contains ReWOO Reasoning Paradigm"
aia_001,AIA_015,CONTAINS,"Agentic AI curriculum contains Agentic Design Patterns"
aia_001,AIA_016,CONTAINS,"Agentic AI curriculum contains Simple Reflex Agents"
aia_001,AIA_017,CONTAINS,"Agentic AI curriculum contains Model-Based Reflex Agents"
aia_001,AIA_018,CONTAINS,"Agentic AI curriculum contains Goal-Based and Utility-Based Agents"
aia_001,AIA_019,CONTAINS,"Agentic AI curriculum contains Learning Agents"
aia_001,AIA_020,CONTAINS,"Agentic AI curriculum contains Autonomous Behavior and Human-Defined Goals"
aia_001,AIA_021,CONTAINS,"Agentic AI curriculum contains Multi-Agent Systems and Collaboration"
aia_001,AIA_022,CONTAINS,"Agentic AI curriculum contains Risks and Limitations of Multi-Agent Systems"
aia_001,AIA_023,CONTAINS,"Agentic AI curriculum contains Agent Orchestration and Workflow Management"
aia_001,AIA_024,CONTAINS,"Agentic AI curriculum contains Prompt Engineering for Agents"
aia_001,AIA_025,CONTAINS,"Agentic AI curriculum contains Retrieval-Augmented Generation in Agentic Systems"
aia_001,AIA_026,CONTAINS,"Agentic AI curriculum contains Grounding, Hallucination Control, and Verification"
aia_001,AIA_027,CONTAINS,"Agentic AI curriculum contains Execution Control, Budgets, and Termination"
aia_001,AIA_028,CONTAINS,"Agentic AI curriculum contains Model Selection, Context Management, and Cost Tradeoffs"
aia_001,AIA_029,CONTAINS,"Agentic AI curriculum contains Agent Safety, Alignment, and Ethical Considerations"
aia_001,AIA_030,CONTAINS,"Agentic AI curriculum contains Security for Agents: Prompt Injection and Tool Safety"
aia_001,AIA_031,CONTAINS,"Agentic AI curriculum contains Observability, Tracing, and Debugging"
aia_001,AIA_032,CONTAINS,"Agentic AI curriculum contains Reliability Patterns and Fallback Strategies"
AIA_001,AIA_002,PREREQUISITE,"Understanding AI agent core definition is prerequisite for understanding LLMs as the core of AI agents"
AIA_001,AIA_003,PREREQUISITE,"Understanding AI agent core definition is prerequisite for understanding agent perception and environment interaction"
AIA_001,AIA_012,PREREQUISITE,"Understanding AI agent core definition is prerequisite for distinguishing agentic vs nonagentic chatbots"
AIA_002,AIA_004,PREREQUISITE,"Understanding LLMs as the core of AI agents is prerequisite for understanding agent architecture components"
AIA_003,AIA_004,PREREQUISITE,"Understanding agent perception and environment interaction is prerequisite for understanding agent architecture components"
AIA_004,AIA_005,PREREQUISITE,"Understanding agent architecture components is prerequisite for understanding task decomposition and planning"
AIA_004,AIA_006,PREREQUISITE,"Understanding agent architecture components is prerequisite for understanding agentic reasoning and self-correction"
AIA_004,AIA_007,PREREQUISITE,"Understanding agent architecture components is prerequisite for understanding agent memory and personalization"
AIA_004,AIA_008,PREREQUISITE,"Understanding agent architecture components is prerequisite for understanding tool use and external information retrieval"
AIA_005,AIA_013,PREREQUISITE,"Understanding task decomposition and planning is prerequisite for understanding ReAct reasoning paradigm"
AIA_005,AIA_014,PREREQUISITE,"Understanding task decomposition and planning is prerequisite for understanding ReWOO reasoning paradigm"
AIA_006,AIA_010,PREREQUISITE,"Understanding agentic reasoning and self-correction is prerequisite for understanding feedback mechanisms and iterative refinement"
AIA_008,AIA_009,PREREQUISITE,"Understanding tool use and external information retrieval is prerequisite for understanding tool calling engineering and contracts"
AIA_010,AIA_011,PREREQUISITE,"Understanding feedback mechanisms and iterative refinement is prerequisite for understanding human-in-the-loop in agentic systems"
AIA_013,AIA_015,PREREQUISITE,"Understanding ReAct reasoning paradigm is prerequisite for understanding agentic design patterns"
AIA_014,AIA_015,PREREQUISITE,"Understanding ReWOO reasoning paradigm is prerequisite for understanding agentic design patterns"
AIA_003,AIA_016,PREREQUISITE,"Understanding agent perception and environment interaction is prerequisite for understanding simple reflex agents"
AIA_016,AIA_017,PREREQUISITE,"Understanding simple reflex agents is prerequisite for understanding model-based reflex agents"
AIA_017,AIA_018,PREREQUISITE,"Understanding model-based reflex agents is prerequisite for understanding goal-based and utility-based agents"
AIA_018,AIA_019,PREREQUISITE,"Understanding goal-based and utility-based agents is prerequisite for understanding learning agents"
AIA_001,AIA_020,PREREQUISITE,"Understanding AI agent core definition is prerequisite for understanding autonomous behavior and human-defined goals"
AIA_015,AIA_021,PREREQUISITE,"Understanding agentic design patterns is prerequisite for understanding multi-agent systems and collaboration"
AIA_021,AIA_022,PREREQUISITE,"Understanding multi-agent systems and collaboration is prerequisite for understanding risks and limitations of multi-agent systems"
AIA_021,AIA_023,PREREQUISITE,"Understanding multi-agent systems and collaboration is prerequisite for understanding agent orchestration and workflow management"
AIA_002,AIA_024,PREREQUISITE,"Understanding LLMs as the core of AI agents is prerequisite for understanding prompt engineering for agents"
AIA_008,AIA_025,PREREQUISITE,"Understanding tool use and external information retrieval is prerequisite for understanding retrieval-augmented generation in agentic systems"
AIA_025,AIA_026,PREREQUISITE,"Understanding retrieval-augmented generation is prerequisite for understanding grounding, hallucination control, and verification"
