:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
kg_002,Knowledge Graphs,Curriculum,,1.0.0,Become acquainted with the foundations of knowledge graphs,,2026-05-12,2026-05-12,20,,
KG02_001,Fundamentals of Knowledge Graphs,Concept,"Define what a knowledge graph is and identify its core components: entities, relationships, and attributes;Distinguish knowledge graphs from relational databases by comparing their data models and query capabilities;Identify three real-world applications of knowledge graphs in domains such as search engines, recommendation systems, or enterprise data integration;List four benefits of using knowledge graphs including flexible schema, relationship-first modeling, semantic integration, and inference capabilities;Describe the evolution from early semantic web technologies to modern enterprise and open knowledge graphs",1.0.0,"Understanding fundamentals of knowledge graphs: Define what a knowledge graph is and identify its core components: entities, relationships, and attributes",,2026-05-12,2026-05-12,,Foundational,
KG02_002,Data Graph Models,Concept,Draw a directed edge-labeled graph showing nodes connected by labeled directed edges for a given scenario;Explain heterogeneous graphs where nodes and edges have different types and provide an example with at least three node types;Define property graphs and create a small property graph with key-value properties on both nodes and edges;Describe graph datasets as collections of multiple named graphs and explain when this model is useful;Compare directed edge-labeled graphs and property graphs by listing two advantages of each model;Select an appropriate graph model for a given use case and justify the choice,1.0.0,Understanding data graph models: Draw a directed edge-labeled graph showing nodes connected by labeled directed edges for a given scenario,,2026-05-12,2026-05-12,,Foundational,
KG02_003,RDF and Triple Stores,Concept,"Define the Resource Description Framework as a standard model for data interchange on the web;Write RDF triples in the form of subject-predicate-object for a given set of facts;Explain how URIs uniquely identify resources in RDF and create valid URIs following best practices;Convert a set of RDF triples between at least two serialization formats: Turtle, N-Triples, or JSON-LD;Describe triple stores as specialized databases optimized for storing and querying RDF data;Load RDF data into a triple store and verify successful ingestion",1.0.0,Understanding rdf and triple stores: Define the Resource Description Framework as a standard model for data interchange on the web,,2026-05-12,2026-05-12,,Foundational,
KG02_004,SPARQL Query Language,Concept,"Write basic SPARQL SELECT queries to retrieve specific information from an RDF knowledge graph;Construct graph patterns using triple patterns with variables to match node and edge configurations;Build complex queries using OPTIONAL, UNION, and FILTER operations;Write SPARQL queries using different query forms: SELECT, CONSTRUCT, ASK, and DESCRIBE;Apply path expressions to traverse multi-hop relationships in a knowledge graph;Execute SPARQL queries against a public endpoint and interpret the results",1.0.0,Understanding sparql query language: Write basic SPARQL SELECT queries to retrieve specific information from an RDF knowledge graph,,2026-05-12,2026-05-12,,Foundational,
KG02_005,Knowledge Graph Construction from Structured Sources,Concept,Explain mapping techniques for converting relational database tables to RDF triples;Apply R2RML mapping language to define transformations from relational data to RDF;Convert tree-structured data formats like JSON or XML to graph representations;Extract structured data from HTML tables and transform it into knowledge graph format;Identify schema alignment challenges when integrating data from multiple heterogeneous sources;Execute a complete ETL pipeline to ingest structured data into a knowledge graph,1.0.0,Understanding knowledge graph construction from structured sources: Explain mapping techniques for converting relational database tables to RDF triples,,2026-05-12,2026-05-12,,Foundational,
KG02_006,Identity and Entity Management,Concept,"Design URI patterns following best practices for persistent identifiers in a knowledge graph;Explain the role of URIs in uniquely identifying entities across distributed systems;Describe entity resolution techniques for identifying when two references refer to the same real-world entity;Apply owl:sameAs or equivalent predicates to link identical entities across different knowledge graphs;Define appropriate datatypes for literal values including strings, numbers, dates, and language-tagged text;Implement a basic entity resolution pipeline using blocking and similarity measures;Evaluate entity resolution results using precision and recall metrics",1.0.0,Understanding identity and entity management: Design URI patterns following best practices for persistent identifiers in a knowledge graph,,2026-05-12,2026-05-12,,Intermediate,
KG02_007,Schema and Validation,Concept,Explain the difference between semantic schema that defines meaning and validating schema that enforces constraints;Write RDFS schema definitions including class hierarchies and property domain-range constraints;Create SHACL shapes to validate structural constraints on knowledge graph data;Execute SHACL validation against a knowledge graph and interpret validation reports;Distinguish between emergent schema discovered from data versus prescriptive schema defined upfront;Evaluate trade-offs between flexible schema-less approaches and rigid schema enforcement for a given use case,1.0.0,Understanding schema and validation: Explain the difference between semantic schema that defines meaning and validating schema that enforces constraints,,2026-05-12,2026-05-12,,Intermediate,
KG02_008,Context and Provenance Representation,Concept,Explain direct representation of context through additional properties or edge attributes;Apply reification to make statements about statements by converting edges into nodes;Model n-ary relationships that involve more than two participants using intermediate nodes;Use named graphs to organize triples into distinct datasets with associated metadata;Apply RDF-star syntax to annotate individual triples with provenance or confidence metadata;Model provenance using PROV-O vocabulary to track the origin and derivation of data;Query annotated statements to retrieve both facts and their associated metadata,1.0.0,Understanding context and provenance representation: Explain direct representation of context through additional properties or edge attributes,,2026-05-12,2026-05-12,,Intermediate,
KG02_009,Ontology Modeling with RDFS and OWL,Concept,"Define ontologies as formal specifications of concepts, properties, and relationships in a domain;Create RDFS class hierarchies using rdfs:subClassOf and property hierarchies using rdfs:subPropertyOf;Write OWL class definitions using restrictions such as cardinality, value constraints, and property restrictions;Distinguish between OWL profiles: OWL Full, OWL DL, OWL EL, OWL QL, and OWL RL based on expressiveness and computational properties;Apply domain and range constraints to properties to enforce type consistency;Select an appropriate OWL profile for a given application based on reasoning requirements and scalability needs;Use an ontology editor like Protege to create and visualize an ontology for a specific domain",1.0.0,"Understanding ontology modeling with rdfs and owl: Define ontologies as formal specifications of concepts, properties, and relationships in a domain",,2026-05-12,2026-05-12,,Intermediate,
KG02_010,Reasoning and Entailment,Concept,"Explain entailment as deriving new facts from existing facts using schema definitions and rules;List examples of RDFS entailments including subclass inheritance and domain-range inference;Describe rule-based reasoning using if-then rules to infer new knowledge;Distinguish between materialization that precomputes inferences and query-time reasoning that computes on demand;Apply a reasoning engine to a knowledge graph and identify newly inferred triples;Evaluate trade-offs between materialization and query-time reasoning in terms of storage, query performance, and update costs;Explain computational complexity considerations for different reasoning approaches",1.0.0,Understanding reasoning and entailment: Explain entailment as deriving new facts from existing facts using schema definitions and rules,,2026-05-12,2026-05-12,,Intermediate,
KG02_011,Knowledge Graph Construction from Text,Concept,"Explain Named Entity Recognition as identifying mentions of entities in unstructured text;Apply Entity Linking to connect text mentions to entities in an existing knowledge graph;Define Relation Extraction as identifying semantic relationships between entity mentions in text;Execute an information extraction pipeline combining NER, entity linking, and relation extraction;Distinguish between pipeline approaches that process tasks sequentially versus joint models that optimize multiple tasks together;Evaluate extraction results using precision, recall, and F1 metrics;Perform error analysis on extraction output to identify common failure patterns",1.0.0,Understanding knowledge graph construction from text: Explain Named Entity Recognition as identifying mentions of entities in unstructured text,,2026-05-12,2026-05-12,,Intermediate,
KG02_012,Knowledge Graph Quality Assessment,Concept,Define accuracy dimensions including syntactic correctness and semantic correctness of facts;Assess coverage dimensions including completeness and representativeness of a knowledge graph;Evaluate coherency dimensions including consistency and absence of logical contradictions;Measure succinctness by identifying redundant or unnecessarily complex representations;Apply quality metrics to compare different versions of a knowledge graph or alternative sources;Design a quality assessment framework appropriate for a specific knowledge graph application,1.0.0,Understanding knowledge graph quality assessment: Define accuracy dimensions including syntactic correctness and semantic correctness of facts,,2026-05-12,2026-05-12,,Intermediate,
KG02_013,Knowledge Graph Refinement and Completion,Concept,Explain link prediction as inferring missing edges between existing entities in a knowledge graph;Apply rule mining to discover logical patterns that suggest missing facts;Describe type prediction for inferring the classes or categories of entities;Use knowledge graph embeddings to predict missing links based on vector similarity;Implement fact validation to verify the correctness of existing or candidate statements;Apply inconsistency detection and repair techniques to resolve logical contradictions;Evaluate completion results using ranking metrics such as Mean Reciprocal Rank and Hits at K,1.0.0,Understanding knowledge graph refinement and completion: Explain link prediction as inferring missing edges between existing entities in a knowledge graph,,2026-05-12,2026-05-12,,Advanced,
KG02_014,Knowledge Graph Embeddings,Concept,Define knowledge graph embeddings as low-dimensional vector representations of entities and relations;Explain translation-based models like TransE that represent relations as translations in embedding space;Describe bilinear models like DistMult and ComplEx that use multiplicative interactions;Explain neural models like ConvE that apply convolutional networks to embedding representations;Apply embedding models to link prediction tasks and evaluate using ranking metrics;Distinguish between models that ignore ontological constraints versus entailment-aware embedding approaches;Train a knowledge graph embedding model on a sample dataset and generate entity similarity rankings,1.0.0,Understanding knowledge graph embeddings: Define knowledge graph embeddings as low-dimensional vector representations of entities and relations,,2026-05-12,2026-05-12,,Advanced,
KG02_015,Graph Neural Networks for Knowledge Graphs,Concept,"Explain how graph neural networks aggregate information from neighboring nodes iteratively;Describe message passing mechanisms that propagate features across graph edges;Apply graph neural networks to node classification tasks on knowledge graphs;Use graph neural networks for link prediction by learning node representations;Distinguish between different aggregation functions such as mean, max, and attention-based pooling;Evaluate how graph structure and neighborhood size influence GNN learning and generalization",1.0.0,Understanding graph neural networks for knowledge graphs: Explain how graph neural networks aggregate information from neighboring nodes iteratively,,2026-05-12,2026-05-12,,Advanced,
KG02_016,Knowledge Graph Publication and Access,Concept,"Explain FAIR principles: making knowledge graphs Findable, Accessible, Interoperable, and Reusable;Describe Linked Data principles for publishing knowledge graphs on the web with dereferenceable URIs;Compare access methods including data dumps, SPARQL endpoints, and RESTful APIs;Apply best practices for assigning persistent identifiers and providing descriptive metadata;Publish a small knowledge graph following Linked Data principles with proper content negotiation;Evaluate different publication strategies based on use cases such as open data sharing versus enterprise integration",1.0.0,"Understanding knowledge graph publication and access: Explain FAIR principles: making knowledge graphs Findable, Accessible, Interoperable, and Reusable",,2026-05-12,2026-05-12,,Advanced,
KG02_017,Knowledge Graph Lifecycle and Architecture,Concept,"Describe the knowledge graph lifecycle including requirements gathering, modeling, construction, quality assurance, publication, and maintenance;Define competency questions as requirements that guide ontology and schema design;Explain iterative modeling approaches that refine schema based on data and user feedback;Compare storage architectures including triple stores, native graph databases, and hybrid systems;Describe indexing strategies for optimizing query performance on large knowledge graphs;Explain versioning and release management practices for evolving knowledge graphs;Design a basic knowledge graph architecture including ingestion, storage, query, and API layers",1.0.0,"Understanding knowledge graph lifecycle and architecture: Describe the knowledge graph lifecycle including requirements gathering, modeling, construction, quality assurance, publication, and maintenance",,2026-05-12,2026-05-12,,Advanced,
KG02_018,Ontology Alignment and Schema Mapping,Concept,"Define ontology alignment as finding correspondences between concepts and properties in different ontologies;Identify equivalence mappings between classes and properties across schemas;Apply subsumption mappings to relate more general and more specific concepts;Use alignment tools or techniques to semi-automatically discover schema correspondences;Evaluate alignment quality using precision, recall, and manual verification;Explain vocabulary reuse strategies for leveraging existing ontologies and standards",1.0.0,Understanding ontology alignment and schema mapping: Define ontology alignment as finding correspondences between concepts and properties in different ontologies,,2026-05-12,2026-05-12,,Advanced,
KG02_019,"Performance, Scalability, and Operations",Concept,Explain query optimization techniques including join reordering and index selection for graph queries;Describe trade-offs between reasoning expressiveness and performance for large knowledge graphs;Compare batch ingestion versus streaming updates for maintaining knowledge graphs;Apply incremental update strategies to efficiently add new data without full recomputation;Monitor query performance and identify bottlenecks using profiling tools;Design a testing and continuous integration workflow for validating knowledge graph updates,1.0.0,"Understanding performance, scalability, and operations: Explain query optimization techniques including join reordering and index selection for graph queries",,2026-05-12,2026-05-12,,Specialized,
KG02_020,"Governance, Security, and Interoperability",Concept,Explain access control mechanisms for restricting read and write permissions on knowledge graph data;Describe privacy considerations when handling personally identifiable information in knowledge graphs;Apply data licensing and attribution practices for published knowledge graphs;Define data stewardship roles and responsibilities for maintaining knowledge graph quality;Explain auditability requirements for tracking changes and provenance in enterprise knowledge graphs;Compare property graph query languages like Cypher and Gremlin with SPARQL;Describe mappings between property graph models and RDF for interoperability,1.0.0,"Understanding governance, security, and interoperability: Explain access control mechanisms for restricting read and write permissions on knowledge graph data",,2026-05-12,2026-05-12,,Specialized,
