:START_ID,:END_ID,:TYPE,description:string
ALG_LIFE,ALGLIFE_001,CONTAINS,"Algorithms for life contains Algorithms as Problem-Solving Procedures"
ALG_LIFE,ALGLIFE_002,CONTAINS,"Algorithms for life contains Computational Thinking for Life Problems"
ALG_LIFE,ALGLIFE_003,CONTAINS,"Algorithms for life contains Rationality Under Constraints and Problem Difficulty"
ALG_LIFE,ALGLIFE_004,CONTAINS,"Algorithms for life contains Optimal Stopping: When to Stop Looking"
ALG_LIFE,ALGLIFE_005,CONTAINS,"Algorithms for life contains Explore-Exploit Tradeoff: Balancing New and Known"
ALG_LIFE,ALGLIFE_006,CONTAINS,"Algorithms for life contains Satisficing: When Good Enough Is Optimal"
ALG_LIFE,ALGLIFE_007,CONTAINS,"Algorithms for life contains Sorting and Organization: Making Order"
ALG_LIFE,ALGLIFE_008,CONTAINS,"Algorithms for life contains Caching: What to Keep Close"
ALG_LIFE,ALGLIFE_009,CONTAINS,"Algorithms for life contains Scheduling and Prioritization: First Things First"
ALG_LIFE,ALGLIFE_010,CONTAINS,"Algorithms for life contains Probabilistic Thinking and Managing Uncertainty"
ALGLIFE_001,ALGLIFE_002,PREREQUISITE,"Understanding algorithms as procedures is prerequisite for applying computational thinking to life problems"
ALGLIFE_002,ALGLIFE_003,PREREQUISITE,"Computational thinking framework is prerequisite for understanding rationality under constraints"
ALGLIFE_001,ALGLIFE_003,PREREQUISITE,"Basic algorithm understanding is prerequisite for recognizing problem difficulty and constraint-based rationality"
ALGLIFE_003,ALGLIFE_004,PREREQUISITE,"Understanding rationality under constraints is prerequisite for optimal stopping strategies"
ALGLIFE_003,ALGLIFE_005,PREREQUISITE,"Understanding rationality under constraints is prerequisite for explore-exploit tradeoff decisions"
ALGLIFE_003,ALGLIFE_006,PREREQUISITE,"Understanding rationality under constraints is prerequisite for satisficing strategies"
ALGLIFE_002,ALGLIFE_007,PREREQUISITE,"Computational thinking is prerequisite for understanding sorting and organization algorithms"
ALGLIFE_002,ALGLIFE_008,PREREQUISITE,"Computational thinking is prerequisite for understanding caching principles"
ALGLIFE_002,ALGLIFE_009,PREREQUISITE,"Computational thinking is prerequisite for understanding scheduling and prioritization"
ALGLIFE_003,ALGLIFE_010,PREREQUISITE,"Understanding rationality under constraints is prerequisite for probabilistic thinking"
ALGLIFE_001,ALGLIFE_002,DIFFICULTY_PROGRESSION,"Basic algorithmic procedures progress to computational thinking frameworks"
ALGLIFE_002,ALGLIFE_003,DIFFICULTY_PROGRESSION,"Computational thinking progresses to understanding constraint-based rationality"
ALGLIFE_003,ALGLIFE_004,DIFFICULTY_PROGRESSION,"Constraint-based rationality progresses to optimal stopping applications"
ALGLIFE_004,ALGLIFE_005,DIFFICULTY_PROGRESSION,"Optimal stopping progresses to explore-exploit tradeoff complexity"
ALGLIFE_005,ALGLIFE_006,DIFFICULTY_PROGRESSION,"Explore-exploit tradeoff progresses to satisficing strategies"
ALGLIFE_001,ALGLIFE_007,ALLOWS_UNDERSTANDING_OF,"Understanding algorithms allows understanding of sorting strategies"
ALGLIFE_001,ALGLIFE_008,ALLOWS_UNDERSTANDING_OF,"Understanding algorithms allows understanding of caching mechanisms"
ALGLIFE_001,ALGLIFE_009,ALLOWS_UNDERSTANDING_OF,"Understanding algorithms allows understanding of scheduling approaches"
ALGLIFE_002,ALGLIFE_010,ALLOWS_UNDERSTANDING_OF,"Computational thinking allows understanding of probabilistic decision-making"
ALGLIFE_004,ALGLIFE_005,CROSS_REFERENCES,"Optimal stopping cross-references explore-exploit tradeoff in search decisions"
ALGLIFE_005,ALGLIFE_004,CROSS_REFERENCES,"Explore-exploit tradeoff cross-references optimal stopping in information gathering"
ALGLIFE_004,ALGLIFE_006,CROSS_REFERENCES,"Optimal stopping cross-references satisficing in decision thresholds"
ALGLIFE_006,ALGLIFE_004,CROSS_REFERENCES,"Satisficing cross-references optimal stopping in search termination"
ALGLIFE_005,ALGLIFE_006,CROSS_REFERENCES,"Explore-exploit tradeoff cross-references satisficing in balancing search and selection"
ALGLIFE_006,ALGLIFE_005,CROSS_REFERENCES,"Satisficing cross-references explore-exploit in limiting exploration"
ALGLIFE_007,ALGLIFE_008,CROSS_REFERENCES,"Sorting cross-references caching in organization and retrieval optimization"
ALGLIFE_008,ALGLIFE_007,CROSS_REFERENCES,"Caching cross-references sorting in access-based organization"
ALGLIFE_008,ALGLIFE_009,CROSS_REFERENCES,"Caching cross-references scheduling in resource allocation"
ALGLIFE_009,ALGLIFE_008,CROSS_REFERENCES,"Scheduling cross-references caching in task prioritization"
ALGLIFE_004,ALGLIFE_010,CROSS_REFERENCES,"Optimal stopping cross-references probabilistic thinking in uncertain decisions"
ALGLIFE_010,ALGLIFE_004,CROSS_REFERENCES,"Probabilistic thinking cross-references optimal stopping in expected value calculations"
ALGLIFE_004,ALGLIFE_002,CONCEPTUAL_CLUSTER,"Optimal stopping is part of decision-making algorithms cluster"
ALGLIFE_005,ALGLIFE_002,CONCEPTUAL_CLUSTER,"Explore-exploit tradeoff is part of decision-making algorithms cluster"
ALGLIFE_006,ALGLIFE_002,CONCEPTUAL_CLUSTER,"Satisficing is part of decision-making algorithms cluster"
ALGLIFE_010,ALGLIFE_002,CONCEPTUAL_CLUSTER,"Probabilistic thinking is part of decision-making algorithms cluster"
ALGLIFE_007,ALGLIFE_002,CONCEPTUAL_CLUSTER,"Sorting is part of resource management algorithms cluster"
ALGLIFE_008,ALGLIFE_002,CONCEPTUAL_CLUSTER,"Caching is part of resource management algorithms cluster"
ALGLIFE_009,ALGLIFE_002,CONCEPTUAL_CLUSTER,"Scheduling is part of resource management algorithms cluster"
ALGLIFE_004,ALGLIFE_001,SPECIALIZES,"Optimal stopping specializes algorithmic problem-solving for search decisions"
ALGLIFE_005,ALGLIFE_001,SPECIALIZES,"Explore-exploit tradeoff specializes algorithmic problem-solving for information gathering"
ALGLIFE_006,ALGLIFE_001,SPECIALIZES,"Satisficing specializes algorithmic problem-solving for threshold-based decisions"
ALGLIFE_007,ALGLIFE_001,SPECIALIZES,"Sorting specializes algorithmic problem-solving for organization tasks"
ALGLIFE_008,ALGLIFE_001,SPECIALIZES,"Caching specializes algorithmic problem-solving for retrieval optimization"
ALGLIFE_009,ALGLIFE_001,SPECIALIZES,"Scheduling specializes algorithmic problem-solving for time management"
ALGLIFE_010,ALGLIFE_003,SYNTHESIZES,"Probabilistic thinking synthesizes rationality under constraints with uncertainty management"
ALGLIFE_006,ALGLIFE_003,SYNTHESIZES,"Satisficing synthesizes rationality under constraints with search cost optimization"
ALGLIFE_009,ALGLIFE_003,SYNTHESIZES,"Scheduling synthesizes rationality under constraints with resource limitations"
