:START_ID,:END_ID,:TYPE,description:string
hcr_001,HCR01_001,CONTAINS,"Healthcare Organization Risk Fundamentals contains Australian Healthcare Risk Management Regulatory Framework"
hcr_001,HCR01_002,CONTAINS,"Healthcare Organization Risk Fundamentals contains Clinical Governance and Risk Management Integration"
hcr_001,HCR01_003,CONTAINS,"Healthcare Organization Risk Fundamentals contains ISO 31000 Risk Management Process and Principles"
hcr_001,HCR01_004,CONTAINS,"Healthcare Organization Risk Fundamentals contains Enterprise Risk Management Domains in Healthcare"
hcr_001,HCR01_005,CONTAINS,"Healthcare Organization Risk Fundamentals contains Risk Identification and Assessment Techniques"
hcr_001,HCR01_006,CONTAINS,"Healthcare Organization Risk Fundamentals contains Risk Analysis and Prioritization Methods"
hcr_001,HCR01_007,CONTAINS,"Healthcare Organization Risk Fundamentals contains Australian Incident Management and Severity Assessment"
hcr_001,HCR01_008,CONTAINS,"Healthcare Organization Risk Fundamentals contains Root Cause Analysis and Systems-Based Investigation"
hcr_001,HCR01_009,CONTAINS,"Healthcare Organization Risk Fundamentals contains Prospective Risk Assessment Using FMEA"
hcr_001,HCR01_010,CONTAINS,"Healthcare Organization Risk Fundamentals contains Open Disclosure and Duty of Candour"
hcr_001,HCR01_011,CONTAINS,"Healthcare Organization Risk Fundamentals contains Just Culture and Safety Culture Principles"
hcr_001,HCR01_012,CONTAINS,"Healthcare Organization Risk Fundamentals contains Near Miss Reporting and Learning Systems"
hcr_001,HCR01_013,CONTAINS,"Healthcare Organization Risk Fundamentals contains Risk Registers and Treatment Planning"
hcr_001,HCR01_014,CONTAINS,"Healthcare Organization Risk Fundamentals contains Risk Appetite and Tolerance Framework"
hcr_001,HCR01_015,CONTAINS,"Healthcare Organization Risk Fundamentals contains Governance Reporting and Board Assurance"
hcr_001,HCR01_016,CONTAINS,"Healthcare Organization Risk Fundamentals contains Complaints and Consumer Feedback as Risk Signals"
hcr_001,HCR01_017,CONTAINS,"Healthcare Organization Risk Fundamentals contains Mandatory Reporting and Legal Obligations"
hcr_001,HCR01_018,CONTAINS,"Healthcare Organization Risk Fundamentals contains Risk Management Information Systems and Data Quality"
hcr_001,HCR01_019,CONTAINS,"Healthcare Organization Risk Fundamentals contains Business Continuity and Emergency Management"
hcr_001,HCR01_020,CONTAINS,"Healthcare Organization Risk Fundamentals contains Risk Management Plan as Living Document"
HCR01_001,HCR01_002,PREREQUISITE,"Understanding the regulatory framework is prerequisite for understanding clinical governance integration"
HCR01_001,HCR01_003,PREREQUISITE,"Understanding the regulatory framework including ISO 31000 is prerequisite for learning the detailed risk management process"
HCR01_001,HCR01_004,PREREQUISITE,"Understanding the regulatory framework is prerequisite for identifying enterprise risk management domains"
HCR01_002,HCR01_015,PREREQUISITE,"Understanding clinical governance integration is prerequisite for developing governance reporting and board assurance"
HCR01_003,HCR01_005,PREREQUISITE,"Understanding ISO 31000 risk management process is prerequisite for applying risk identification techniques"
HCR01_003,HCR01_006,PREREQUISITE,"Understanding ISO 31000 risk management process is prerequisite for risk analysis and prioritization"
