:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
ckd_001,Chronic Kidney Disease Management in Primary Care,Curriculum,,1.0.0,Understand the fundamentals of managing chronic kidney disease in primary care,,2026-05-08,2026-05-08,20,,
CKD01_001,"Definition, Diagnostic Criteria and Initial Work-up for CKD",Concept,"Define CKD as kidney damage or eGFR less than 60 mL/min/1.73m2 persisting for 3 months or more, irrespective of underlying cause;Identify evidence of kidney damage as albuminuria (ACR greater than 3 mg/mmol), persistent haematuria after exclusion of urological causes, structural abnormalities on imaging, or pathological abnormalities on biopsy;Explain that CKD diagnosis requires at least 2 abnormal results at least 3 months apart to confirm chronicity and exclude acute kidney injury;List initial work-up investigations as serum creatinine with eGFR, urine ACR, urine microscopy, electrolytes including potassium and bicarbonate, full blood count, HbA1c, lipids, and renal ultrasound if indicated;Identify indications for renal ultrasound as stage 4 or 5 CKD, suspected obstruction, family history of polycystic kidney disease, persistent haematuria, or rapid decline in kidney function;Recognize that eGFR can be affected by acute illness, dehydration, high protein intake, and muscle mass, requiring clinical context for interpretation",1.0.0,"Understanding definition, diagnostic criteria and initial work-up for ckd: Define CKD as kidney damage or eGFR less than 60 mL/min/1.73m2 persisting for 3 months or more, irrespective of underlying cause",,2026-05-08,2026-05-08,,Foundational,
CKD01_002,Risk Factors and Screening for CKD in Australian Primary Care,Concept,"List major risk factors requiring regular screening as diabetes mellitus, hypertension, established cardiovascular disease, family history of kidney failure, and obesity with BMI 30 kg/m2 or greater;Identify additional risk factors as age 60 years or older, current smoking, Aboriginal or Torres Strait Islander origin, and history of acute kidney injury;Explain that Aboriginal and Torres Strait Islander peoples aged 30 years or older should be screened annually regardless of other risk factors;Recommend Kidney Health Checks every 1 to 2 years for people with risk factors, and annually if diabetes or hypertension is present;Recognize that early detection through systematic screening in at-risk populations allows intervention to slow CKD progression and reduce cardiovascular risk",1.0.0,"Understanding risk factors and screening for ckd in australian primary care: List major risk factors requiring regular screening as diabetes mellitus, hypertension, established cardiovascular disease, family history of kidney failure, and obesity with BMI 30 kg/m2 or greater",,2026-05-08,2026-05-08,,Foundational,
CKD01_003,The Kidney Health Check and Confirmation of Abnormalities,Concept,"Describe the three components of a Kidney Health Check as blood test for eGFR calculated from serum creatinine, urine test for albumin to creatinine ratio, and standardized blood pressure measurement;Explain that reduced eGFR less than 60 mL/min/1.73m2 requires confirmation with at least 2 measurements at least 3 months apart;State that elevated urine ACR requires confirmation with 2 out of 3 elevated measurements over at least 3 months using first morning void samples where possible;Identify confounders for urine ACR as urinary tract infection, menstruation, vigorous exercise within 24 hours, and acute febrile illness;Recognize that a sustained reduction in eGFR of 25% or more or an absolute drop of more than 5 mL/min/1.73m2 within one year may indicate acute kidney injury and requires urgent review within 7 days",1.0.0,"Understanding the kidney health check and confirmation of abnormalities: Describe the three components of a Kidney Health Check as blood test for eGFR calculated from serum creatinine, urine test for albumin to creatinine ratio, and standardized blood pressure measurement",,2026-05-08,2026-05-08,,Foundational,
CKD01_004,CKD Staging System Using eGFR and Albuminuria Categories,Concept,"Classify CKD by eGFR into stages: G1 is 90 or greater, G2 is 60 to 89, G3a is 45 to 59, G3b is 30 to 44, G4 is 15 to 29, and G5 is less than 15 or on dialysis;Classify albuminuria into categories: A1 is ACR less than 3 mg/mmol, A2 is ACR 3 to 30 mg/mmol, and A3 is ACR greater than 30 mg/mmol;Explain that stages G1 and G2 require evidence of kidney damage such as albuminuria, haematuria, or structural abnormalities to be classified as CKD;Recognize that full CKD specification combines eGFR stage, albuminuria category, and underlying diagnosis, for example CKD G3aA2 due to diabetic kidney disease;Understand that both lower eGFR and higher albuminuria independently increase risk of progression to kidney failure and cardiovascular events",1.0.0,"Understanding ckd staging system using egfr and albuminuria categories: Classify CKD by eGFR into stages: G1 is 90 or greater, G2 is 60 to 89, G3a is 45 to 59, G3b is 30 to 44, G4 is 15 to 29, and G5 is less than 15 or on dialysis",,2026-05-08,2026-05-08,,Foundational,
CKD01_005,Blood Pressure Management and Measurement in CKD,Concept,"State the recommended blood pressure target for most people with CKD as below 130/80 mmHg based on standardized clinic measurement;Recognize that blood pressure targets should be individualized considering age, frailty, orthostatic symptoms, albuminuria level, and patient preferences;Explain that home blood pressure monitoring or ambulatory blood pressure monitoring provides more accurate assessment than clinic readings and targets are typically 5 mmHg lower;Identify that standardized blood pressure measurement requires patient seated quietly for 5 minutes, back supported, feet flat on floor, arm at heart level, and appropriate cuff size;Understand that blood pressure control is a key modifiable factor to slow CKD progression and reduce cardiovascular risk",1.0.0,Understanding blood pressure management and measurement in ckd: State the recommended blood pressure target for most people with CKD as below 130/80 mmHg based on standardized clinic measurement,,2026-05-08,2026-05-08,,Foundational,
CKD01_006,RAAS Blockade as First-Line Therapy in CKD with Albuminuria,Concept,"Identify ACE inhibitors or angiotensin receptor blockers as first-line antihypertensive agents for people with CKD and albuminuria category A2 or A3;Explain that RAAS inhibitors provide kidney protection beyond blood pressure lowering by reducing intraglomerular pressure and albuminuria;Recognize that an initial decline in eGFR of up to 30% within 2 to 4 weeks of starting RAAS inhibitors is acceptable if it stabilizes and does not indicate treatment failure;State that serum creatinine and potassium must be checked within 1 to 2 weeks after initiating or increasing dose of RAAS inhibitors;Identify that RAAS inhibitors should be ceased if eGFR falls by more than 30%, potassium rises above 6.0 mmol/L despite management, or bilateral renal artery stenosis is suspected",1.0.0,Understanding raas blockade as first-line therapy in ckd with albuminuria: Identify ACE inhibitors or angiotensin receptor blockers as first-line antihypertensive agents for people with CKD and albuminuria category A2 or A3,,2026-05-08,2026-05-08,,Intermediate,
CKD01_007,SGLT2 Inhibitors and GLP-1 Receptor Agonists in CKD Management,Concept,"Identify SGLT2 inhibitors as indicated for people with CKD and type 2 diabetes, or for those with CKD and albuminuria regardless of diabetes status, where eGFR is 20 mL/min/1.73m2 or greater;Explain that SGLT2 inhibitors reduce risk of CKD progression, cardiovascular events, and hospitalization for heart failure;Recognize that SGLT2 inhibitors should be temporarily ceased during sick days with vomiting, diarrhea, or reduced oral intake to prevent volume depletion and ketoacidosis;Identify GLP-1 receptor agonists as providing cardiovascular and potential kidney benefits in people with type 2 diabetes and CKD;State that common adverse effects of SGLT2 inhibitors include genital mycotic infections, urinary tract infections, and volume depletion, requiring patient education and monitoring",1.0.0,"Understanding sglt2 inhibitors and glp-1 receptor agonists in ckd management: Identify SGLT2 inhibitors as indicated for people with CKD and type 2 diabetes, or for those with CKD and albuminuria regardless of diabetes status, where eGFR is 20 mL/min/1.73m2 or greater",,2026-05-08,2026-05-08,,Intermediate,
CKD01_008,Glycaemic Management in CKD with Diabetes,Concept,"State that HbA1c target for most people with diabetes and CKD is generally 53 mmol/mol or 7% or less, individualized to range 48 to 58 mmol/mol or 6.5% to 7.5%;Explain that glycaemic targets require individualization based on hypoglycaemia risk, life expectancy, duration of diabetes, established complications, and patient preferences;Recognize that HbA1c may underestimate glycaemia in advanced CKD due to shortened red cell survival and erythropoietin use;Identify that several glucose-lowering medications require dose adjustment or cessation as eGFR declines, including metformin, sulfonylureas, and SGLT2 inhibitors;State that metformin should be used with caution when eGFR is 30 to 44 mL/min/1.73m2 and ceased when eGFR is below 30 mL/min/1.73m2 due to lactic acidosis risk",1.0.0,"Understanding glycaemic management in ckd with diabetes: State that HbA1c target for most people with diabetes and CKD is generally 53 mmol/mol or 7% or less, individualized to range 48 to 58 mmol/mol or 6.5% to 7.5%",,2026-05-08,2026-05-08,,Intermediate,
CKD01_009,Lipid Management and Cardiovascular Risk Reduction in CKD,Concept,"Recommend statin or statin with ezetimibe combination for all people aged 50 years or older with any stage of CKD regardless of baseline cholesterol level;Identify indications for statin therapy in people younger than 50 years with CKD as presence of coronary disease, previous ischaemic stroke, diabetes mellitus, or estimated 5-year cardiovascular risk greater than 15%;Explain that CKD is an independent cardiovascular risk factor and traditional risk calculators may underestimate risk in people with CKD;State that no specific target serum cholesterol level is recommended for lipid management in CKD, with focus on statin use rather than treat-to-target approach;Recognize that cardiovascular disease is the leading cause of death in people with CKD, making comprehensive cardiovascular risk management essential",1.0.0,Understanding lipid management and cardiovascular risk reduction in ckd: Recommend statin or statin with ezetimibe combination for all people aged 50 years or older with any stage of CKD regardless of baseline cholesterol level,,2026-05-08,2026-05-08,,Intermediate,
CKD01_010,"Lifestyle Modifications Including Diet, Exercise, Smoking and Alcohol",Concept,"Recommend a varied diet rich in vegetables, fruits, wholegrain cereals, lean meat, fish, legumes, and low-fat dairy, limiting salt intake to less than 6g per day or 100 mmol per day;Advise limiting foods high in saturated fats, added sugars, and avoiding high-calorie sweetened carbonated beverages;State that dietary protein intake should generally be maintained at 0.75 to 1.0 g per kg body weight per day, with restriction only under dietitian supervision in advanced CKD;Recommend 150 to 300 minutes of moderate intensity physical activity or 75 to 150 minutes of vigorous intensity activity per week, plus muscle strengthening on at least 2 days;Advise complete smoking cessation with support through counselling, nicotine replacement therapy, or other medications, and limiting alcohol to 2 standard drinks or less per day;Identify that potassium and phosphate restriction may be required in stage 4 and 5 CKD, requiring referral to accredited practising dietitian",1.0.0,"Understanding lifestyle modifications including diet, exercise, smoking and alcohol: Recommend a varied diet rich in vegetables, fruits, wholegrain cereals, lean meat, fish, legumes, and low-fat dairy, limiting salt intake to less than 6g per day or 100 mmol per day",,2026-05-08,2026-05-08,,Intermediate,
